category,small category
Arts_and_Entertainment,visual_Arts_and_Design
Arts_and_Entertainment,humor
Arts_and_Entertainment,performing_Arts
Arts_and_Entertainment,movies
Arts_and_Entertainment,photography
Arts_and_Entertainment,tV_and_Video
Arts_and_Entertainment,animation_and_Comics
Arts_and_Entertainment,awards
Arts_and_Entertainment,architecture
Arts_and_Entertainment,music_and_Audio
Arts_and_Entertainment,fashion_and_Modeling
Arts_and_Entertainment,celebrities_and_Entertainment_News
Autos_and_Vehicles,automotive_News
Autos_and_Vehicles,car_Rentals
Autos_and_Vehicles,automotive_Industry
Autos_and_Vehicles,motorcycles
Autos_and_Vehicles,makes_and_Models
Autos_and_Vehicles,boating
Autos_and_Vehicles,motorsports
Autos_and_Vehicles,aviation
Autos_and_Vehicles,trains_and_Railroads
Autos_and_Vehicles,car_Buying
Beauty_and_Fitness,skin_Care
Beauty_and_Fitness,beauty
Beauty_and_Fitness,bodyart
Beauty_and_Fitness,weight_Loss
Beauty_and_Fitness,hair
Beauty_and_Fitness,cosmetics
Beauty_and_Fitness,fitness
Books_and_Literature,guides_and_Reviews
Books_and_Literature,e-Books
Books_and_Literature,folklore
Books_and_Literature,book_Retailers
Business_and_Industry,associations
Business_and_Industry,business_Services
Business_and_Industry,industrial_Goods_and_Services
Business_and_Industry,construction_and_Maintenance
Business_and_Industry,agriculture_and_Forestry
Business_and_Industry,energy
Business_and_Industry,customer_Service
Business_and_Industry,e-Commerce
Business_and_Industry,metals_and_Mining
Business_and_Industry,aerospace_and_Defence
Business_and_Industry,chemicals
Business_and_Industry,transportation_and_Logistics
Business_and_Industry,marketing_and_Advertising
Business_and_Industry,real_Estate
Business_and_Industry,wholesale_Trade
Business_and_Industry,biotechnology_and_Pharmaceuticals
Business_and_Industry,publishing_and_Printing
Business_and_Industry,textiles_and_Nonwovens
Career_and_Education,jobs_and_Employment
Career_and_Education,business_Training
Career_and_Education,education
Career_and_Education,universities_and_Colleges
Career_and_Education,human_Resources
Computer_and_Electronics,networking
Computer_and_Electronics,programming
Computer_and_Electronics,computer_Hardware
Computer_and_Electronics,consumer_Electronics
Computer_and_Electronics,computer_Security
Computer_and_Electronics,graphics_and_Multimedia_Tools
Computer_and_Electronics,software
Finance,investing
Finance,grants_and_Scholarships
Finance,banking
Finance,"credit,_Loans_and_Mortgages"
Finance,financial_Management
Finance,accounting
Finance,insurance
Food_and_Drink,restaurants_and_Delivery
Food_and_Drink,beverages
Food_and_Drink,catering
Food_and_Drink,vegetarian_and_Vegan
Food_and_Drink,food_and_Grocery_Retailers
Food_and_Drink,cooking_and_Recipes
Gambling,bingo
Gambling,poker
Gambling,regulation_and_Organizations
Gambling,lottery
Gambling,sports
Gambling,casinos
Games,roleplaying
Games,puzzles_and_Brainteasers
Games,miniatures
Games,board_and_Card_Games
Games,video_Games
Games,online
Health,addictions
Health,nutrition
Health,child_Health
Health,reproductive_Health
Health,mental_Health
Health,womens_Health
Health,healthcare_Industry
Health,mens_Health
Health,alternative_and_Natural_Medicine
Health,pharmacy
Health,products_and_Shopping
Health,dentistry
Health,medicine
Health,conditions_and_Diseases
Health,senior_Health
Health,education_and_Resources
Health,public_Health_and_Safety
Home_and_Garden,interior_Decor
Home_and_Garden,home_Improvement
Home_and_Garden,nursery_and_Playroom
Home_and_Garden,gardening
Home_and_Garden,moving_and_Relocating
Internet_and_Telecom,search_Engine
Internet_and_Telecom,social_Network
Internet_and_Telecom,telecommunications
Internet_and_Telecom,mobile_Developers
Internet_and_Telecom,chats_and_Forums
Internet_and_Telecom,web_Hosting
Internet_and_Telecom,domain_Names_and_Register
Internet_and_Telecom,web_Design
Internet_and_Telecom,file_Sharing
Internet_and_Telecom,online_Marketing
Internet_and_Telecom,email
Internet_and_Telecom,ad_Network
Law_and_Government,military_and_Defense
Law_and_Government,law
Law_and_Government,immigration_and_Visas
Law_and_Government,government
News_and_Media,business_News
News_and_Media,sports_News
News_and_Media,magazines_and_E-Zines
News_and_Media,technology_News
News_and_Media,weather
News_and_Media,college_and_University_Press
News_and_Media,newspapers
People_and_Society,disabled_and_Special_Needs
People_and_Society,death
People_and_Society,religion_and_Spirituality
People_and_Society,genealogy
People_and_Society,crime_and_Prosecution
People_and_Society,philosophy
People_and_Society,holidays
People_and_Society,womens_Interests
People_and_Society,philanthropy
People_and_Society,"gay,_Lesbian,_and_Bisexual"
People_and_Society,relationships_and_Dating
People_and_Society,history
Pets_and_Animals,horses
Pets_and_Animals,animal_Products_and_Service
Pets_and_Animals,birds
Pets_and_Animals,pets
Pets_and_Animals,fish_and_Aquaria
Recreation_and_Hobbies,collecting
Recreation_and_Hobbies,scouting
Recreation_and_Hobbies,tobacco
Recreation_and_Hobbies,models
Recreation_and_Hobbies,outdoors
Recreation_and_Hobbies,antiques
Recreation_and_Hobbies,weapons
Recreation_and_Hobbies,nudism
Recreation_and_Hobbies,crafts
Recreation_and_Hobbies,climbing
Recreation_and_Hobbies,camps
Recreation_and_Hobbies,theme_Parks
Reference,libraries_and_Museums
Reference,directories
Reference,ask_an_Expert
Reference,maps
Reference,dictionaries_and_Encyclopedias
Reference,archives
Science,biology
Science,chemistry
Science,earth_Sciences
Science,educational_Resources
Science,physics
Science,environment
Science,social_Sciences
Science,instruments_and_Supplies
Science,astronomy
Science,agriculture
Science,engineering_and_Technology
Science,math
Shopping,antiques_and_Collectibles
Shopping,jewelry
Shopping,publications
Shopping,office_Products
Shopping,flowers
Shopping,weddings
Shopping,consumer_Electronics
Shopping,sports
Shopping,gifts
Shopping,home_and_Garden
Shopping,general_Merchandise
Shopping,music
Shopping,ethnic_and_Regional
Shopping,auctions
Shopping,classifieds
Shopping,clothing
Shopping,children
Shopping,coupons
Shopping,furniture
Sports,extreme_Sports
Sports,volleyball
Sports,basketball
Sports,cycling_and_Biking
Sports,equestrian
Sports,tennis
Sports,fantasy_Sports
Sports,boxing
Sports,rugby
Sports,football
Sports,winter_Sports
Sports,running
Sports,martial_Arts
Sports,baseball
Sports,fishing
Sports,golf
Sports,soccer
Sports,water_Sports
Travel,accommodation_and_Hotels
Travel,roads_and_Highways
Travel,tourism
Travel,airlines_and_Airports
